# wavelength flux fluxerr
1.81064e+04 1.31421e+01 6.37889e-01
1.81531e+04 1.45830e+01 6.60373e-01
1.81998e+04 1.41242e+01 6.18929e-01
1.82465e+04 1.45197e+01 6.23286e-01
1.82932e+04 1.44061e+01 6.26074e-01
1.83399e+04 1.45477e+01 6.35498e-01
1.83866e+04 1.44144e+01 6.49130e-01
1.84333e+04 1.53591e+01 6.36848e-01
1.84800e+04 1.42612e+01 6.40985e-01
1.85267e+04 1.56142e+01 6.48852e-01
1.85735e+04 1.49025e+01 6.57035e-01
1.86202e+04 1.52029e+01 6.50961e-01
1.86669e+04 1.49603e+01 6.65672e-01
1.87136e+04 1.72936e+01 6.85133e-01
1.87603e+04 1.58525e+01 6.72954e-01
1.88070e+04 1.47097e+01 6.61980e-01
1.88537e+04 1.41749e+01 6.54415e-01
1.89004e+04 1.44094e+01 6.52723e-01
1.89471e+04 1.53018e+01 6.63173e-01
1.89938e+04 1.58167e+01 6.68341e-01
1.90405e+04 1.45265e+01 6.72690e-01
1.90872e+04 1.55694e+01 6.89423e-01
1.91339e+04 1.55259e+01 6.69253e-01
1.91806e+04 1.39181e+01 7.00126e-01
1.92274e+04 1.25577e+01 7.15852e-01
1.92741e+04 1.43478e+01 6.90394e-01
1.93208e+04 1.52785e+01 6.90161e-01
1.93675e+04 1.40493e+01 6.98277e-01
1.94142e+04 1.57861e+01 7.01043e-01
1.94609e+04 1.59328e+01 7.03579e-01
1.95076e+04 1.36960e+01 7.11089e-01
1.95543e+04 1.45186e+01 7.10145e-01
1.96010e+04 1.51450e+01 7.15155e-01
1.96477e+04 1.44494e+01 7.95480e-01
1.96944e+04 1.54784e+01 7.30088e-01
1.97411e+04 1.41009e+01 7.59415e-01
1.97878e+04 1.60377e+01 7.76957e-01
1.98346e+04 1.44430e+01 7.52258e-01
1.98813e+04 1.60187e+01 7.47584e-01
1.99280e+04 1.64664e+01 7.60093e-01
1.99747e+04 1.65372e+01 7.64440e-01
2.00214e+04 1.55272e+01 7.79964e-01
2.00681e+04 1.55847e+01 8.27427e-01
2.01148e+04 1.54749e+01 8.16517e-01
2.01615e+04 1.73368e+01 8.06613e-01
2.02082e+04 1.63259e+01 8.19655e-01
2.02549e+04 1.51742e+01 7.92397e-01
2.03016e+04 1.57679e+01 8.12115e-01
2.03483e+04 1.61721e+01 8.15809e-01
2.03950e+04 1.65984e+01 8.09883e-01
2.04417e+04 1.59494e+01 8.13037e-01
2.04885e+04 1.76465e+01 8.41873e-01
2.05352e+04 1.76997e+01 8.49806e-01
2.05819e+04 1.79108e+01 8.27151e-01
2.06286e+04 1.79915e+01 8.86583e-01
2.06753e+04 1.76709e+01 8.28628e-01
2.07220e+04 1.76121e+01 8.07777e-01
2.07687e+04 1.44390e+01 8.06843e-01
2.08154e+04 1.64661e+01 8.48495e-01
2.08621e+04 1.75112e+01 8.06453e-01
2.09088e+04 1.77659e+01 7.85556e-01
2.09555e+04 1.80195e+01 8.29715e-01
2.10022e+04 1.76248e+01 7.88166e-01
2.10489e+04 1.84724e+01 7.97598e-01
2.10957e+04 1.74319e+01 8.13359e-01
2.11424e+04 1.78314e+01 7.73747e-01
2.11891e+04 1.67952e+01 7.74481e-01
2.12358e+04 1.72875e+01 7.97519e-01
2.12825e+04 1.71759e+01 7.88335e-01
2.13292e+04 1.86534e+01 7.93347e-01
2.13759e+04 1.80547e+01 7.93822e-01
2.14226e+04 1.61982e+01 7.97229e-01
2.14693e+04 1.65415e+01 8.03379e-01
2.15160e+04 1.63066e+01 8.90506e-01
2.15627e+04 1.80390e+01 8.21381e-01
2.16094e+04 1.82440e+01 8.03579e-01
2.16561e+04 1.64760e+01 8.41001e-01
2.17028e+04 1.59972e+01 8.08779e-01
2.17496e+04 1.55756e+01 8.26874e-01
2.17963e+04 1.86189e+01 8.94694e-01
2.18430e+04 1.73738e+01 8.69305e-01
2.18897e+04 1.78275e+01 8.46662e-01
2.19364e+04 1.67375e+01 8.46022e-01
2.19831e+04 1.60917e+01 8.30576e-01
2.20298e+04 1.67767e+01 8.35158e-01
2.20765e+04 1.60911e+01 8.58535e-01
2.21232e+04 1.66620e+01 8.91883e-01
2.21699e+04 1.63608e+01 1.02282e+00
2.22166e+04 2.17608e+01 1.24103e+00
